Type of Entity,Category,Entity Name,Nickname,Location,Website,Number of Employees,Key People,Twitter Handle,Number of Twitter Followers,Affiliations,Related To,Collaboration,Funding Received,Year Funding Received,Investment Received,Year Investment Received,Revenue and Expenses (Budget),Year of Revenue and Expenses (Budget),Funding Given,Year of Funding Given,Global or Local Relevance
Non-Profit,General,Code for America,Code for America,"San Francisco, CA",http://codeforamerica.org/,52,"Jen Pahlka, Shona Brown, Nigel Jacob, John Lilly, Stacy Donohue, Andrew McLaughlin, Tim O'Reilly, Eric Ries, Clay Johnson",@codeforamerica,27724,null,"BetaNYC, Civic Commons",OpenPlans,Omidyar Network:null; John S. and James L. Knight Foundation:null; Google:1500000; 1st Source Bank:null; Accela:null; Akonadi Foundation:null; Akron Metropolitan Area Transportation Study:null; AT&T:null; Blue Ridge Foundation New York:null; Cerner Corporation:null; City of Akron:null; Community Foundation of St. Joseph County:null; Conservancy of Cuyahoga Valley National Park:null; Ewing Marion Kauffman Foundation:null; Google Fiber:null; H&R Block Foundation:null; Hall Family Foundation:null; Hallmark Cards Inc.:null; Judd Leighton Foundation:null; Kapor Center for Social Impact:null; Laura and John Arnold Foundation:null; Louisville Bar Foundation:null; Memorial Health System:null; Metro Parks:null; Neighborly:null; Ohio and Erie Canalway Coalition:null; Pandora Media:null; Philanthropic Ventures Foundation:null; Rita Allen Foundation:null; Spring Nextel:null; St. Joseph Regional Medical Center:null; Teachers Credit Union:null; The Downtown Project:null; Vodafone Americas Foundation:null; William H. Donner Foundation:null; Blude Ridge Foundation New York:null; California Healthcare Foundation:null; Cascadilla Fund:null; Cutts Foundation: null; James Irvine Foundation:null; Reid Hoffman Foundation:null; Kaphan Foundation:null; Bluehost with the support of Hari Ravichandran:null; Ashoka Foundation:null; City of Sacramento:null; Edwards Family Fund:null; Elbaz Family Foundation:null; Robert Glushko and Pamela Samuelson:null; Goldhirsh Foundation:null; Harik Fund:null; William and Weslie Janeway:null; Vaughn Koch:null; Dana Le and Rob Mee:null; John D. and Catherine T. MacArthur Foundation:null; Sundar PIchai:null; Geoffrey and Andrea Ralsoton:null; Redlich Horowitz Foundation:null; Shustek Dubinsky Family Philanthropic Fund:null; Hal Varian:null; Eric Ries:null; Craig Newmark Philanthropic Fund:null; Microsoft Corporation:null; Total:2175855,2011,null,null,Revenue:2961713; Expenses:3003561,2011,334000,2012,1
Non-Profit,General,John S. and James L. Knight Foundation,Knight Fdn,"Miami, FL",http://www.knightfoundation.org,67,"Alberto Ibarguen, Robert Briggs",@knightfdn,72380,null,"INNovation Fund, Tech for Engagement Initiative",null,Total:5225536,2012,null,null,Revenue:113570166; Expenses:130255476,2012,The Governance Lab at NYU:null; Berkman Center for Internet and Society:null; New America Foundation:null; Brookings Institution:null; Sunlight Foundation:null; Personal Democracy Media:null; GovLab:null; W3C:null; Open Data Institute:null; Open Knowledge Foundation:null; OpenPlans:620000; Total:92493104,2012,1
Government,General,The White House ,White House ,"Washington, DC",http://www.whitehouse.gov/,468,"Barack Obama, Bill Clinton, Hillary Clinton, Todd Park, John Paul Farmer, Jen Pahlka, Beth Noveck, Andrew McLaughlin, Tom Kalil, Cristin Dorgelo, Kumar Garg, Brian Forde, Nick Sinai, Nicole Wong, Tom Power, Aneesh Chopra, Katie Dowd, Hollie Russon-Gilman, Adam Becker, Vidya Spandana",@WhiteHouse,5148716,null,"Office of Science and Technology Policy, Government",null,null,null,null,null,Budget:710753000,2013,null,null,1
Non-Profit,General,Berkman Center for Internet and Society ,Berkman Ctr,"Cambridge, MA",http://cyber.law.harvard.edu,185,"Yochai Benkler, Susan Crawford, John Deighton, William Fisher, Urs Gasser, Charles Nesson, Felix Oberholzer-Gee, John Palfrey, Jeffrey Schnapp, Yochai Benkler, Susan Crawford, John Deighton, William Fisher, Urs Gasser, Charles Nesson, Felix Oberholzer-Gee, John Palfrey, Jeffrey Schnapp, Stuart Shieber, Mark Wu, Jonathan Zittrain, Ethan Zuckerman, danah boyd, Clay Shirky, John Perry Barlow, Bruce Schneier",@berkmancenter,33528,null,"Harvard University, Harvard Law School",Nieman Foundation,Arcadia Fund:null; Peter Baldwin and Lisbet Rausing:null; Ellen Berkman:null; Ford Foundation:null; Google:null; Stella P. Holt Foundation:null; InterCulture Foundation:null; International Development Research Centre:null; Ewing Marion Kauffman Foundation:null; John S. and James L. Knight Foundation:null; John D. and Catherine T. MacArthur Foundation:null; McCormick Foundation:null; Microsoft Corporation:null; National Science Foundation:null; Craig Newmark:null; Omidyar Network:null; Open Society Foundation:null; Alfred P. Sloan Foundation:null; USAID:null; Department of State:null,null,null,null,Budget:4000000-5000000 ,2010,null,null,1
Non-Profit,General,New America,New America,"Washington, DC",http://www.newamerica.org,174,"Anne-Marie Slaughter, Kevin Bankston, Alissa Black, Hollie Russon-Gilman, Laurenellen McCann, Andrew McLaughlin, Georgia Bullen, Kevin Bankston, Michael Calabrese, Alan Davidson, Thomas Gideon, Chhaya Kapadia, Rebecca MacKinnon, Joshua Breitbart, Seeta Gangadharan, Lorelei Kelly, Benjamin Lennett, Bruce Schneier, Sascha Meinrath, Eric Schmidt",@NewAmerica,17497,null,"Open Technology Institute, New America Foundation's California Civic Innovation",null,Google:null; Microsoft Corporation:null; John D. and Catherine T. MacArthur Foundation:null; Ford Foundation:null; Government:null; Harvard University:null; John D. Rockefeller Foundation:null; Total:21814326,2012,null,null,Revenue:22258222; Expenses:21634831,2012,null,null,1
Non-Profit,General,Brookings Institution,Brookings,"Washington, DC",http://www.brookings.edu,563,"Strobe Talbot, Peter Singer, Darrell West, Allan Friedman, John Villasenor, William Antholis, Steven Bennett, Kimberly Churches, Kemal Dervis, Ona Alston Dosunmu, Ted Gayer, Bruce Katz, David Nassar, Ted Piccone, Leigh Morris Sloane, Stewart Uretsky, Darrell West",@BrookingsInst,115637,null,"Center for 21st Century Security and Intelligence, Center for Technology Innovation",null,null,2012,null,null,Revenue:100602993; Expenses:96726329,2012,null,null,1
Non-Profit,Data and Transparency,Sunlight Foundation,Sunlight Fdn,"Washington, DC",http://sunlightfoundation.com,67,"Mike Klein, Ellen Miller, Laurenellen McCann, Stacy Donohue, Andrew Rasiej",@SunFoundation,35188,null,null,null,"John S. and James L. Knight Foundation:750000; Omidyar Network:500000; William and Flora Hewlett Foundation:250000; Ford Foundation:150000; Chang K. Park Foundation:100000; Park Foundation:100000; Rita Allen Foundation:1000000; Global Integrity:77625; Cards Against Humanity:50000; Kaphan Foundation:50000; Robert R. McCormick Foundation:50000; Global Integrity:43125; Investigative News Network:38156; craigslist Charitable Fund:25000; Transparency International - Secretariat:20415; 300 gifts under 250:10751; United Way of the Bay Area:10000; UX Pin:8994; Fidelity Charitable Gift Fund Helianthus Fund:7500; Silicon Valley Community Foundation Edwards Family Fund:5000; Participant Media:3000; BeeKeeper Group:2500; GitHub:2500; Granicus:2500; Socrata:2500; Susan & Ford Schumann Foundation:2000; Democracy Works:1985; Andrew Cohen:1000; Andrew McLaughlin:1000; Timothy Gholson:1000; Data Transparency Coalition:750; Barbara Friedman:500; Frank Beckman:500; Marvin Gottlieb:500; The George Washington University:500; O'Reilly Media Inc.:365.62; Citizens for Responsibility & Ethics in Washington:250; Fund for Constitutional Government:250; Henry Stiles:250; Ontodia, Inc.:250; OpenGov, Inc.:250; ProPublica:250; Quandl:250; Reporters Committee for Freedom of the Press:250; Robert Hanham:250; Scott Phillips:250",2014,null,null,Revenue:7912829; Expenses:7521833,2012,538403,2012,1
For-Profit,General,Personal Democracy Media,Personal Democracy Media,"New York, NY",https://personaldemocracy.com,8,"Micah Sifry, Andrew Rasiej",@pdmteam,7913,null,"Personal Democracy Forum, Personal Democracy Center",null,null,null,Microsoft Corporation:null; Facebook:null; Ford Foundation:null; Google:null; GitHub:null; Bloomberg Philanthropies:null; Mozilla:null; Omidyar Network:null; ThoughtWorks:null; NYU Interactive Telecommunications Program:null; Harvard Kennedy School Shorenstein Center on Media Politics and Public Policy:null; Change.org:null; tumblr.:null; Mobile Commons:null; GovDeliver:null; echoditto:null; democracy.com:null; UN Foundation:null,2014,null,null,null,null,1
Non-Profit,21st Century Jobs and Opportunities,New York Tech Meetup,NYTM,"New York, NY",http://nytm.org,22,"Andrew Rasiej, Micah Sifry, Jessica Lawrence",@NYTM,15403,null,null,null,null,null,Gotham Ventures:null; Wilson Sonsini Goodrich & Rosati:null; Google:null; Microsoft BizSpark:null; Bloomberg:null; tumblr:null; mlbam:null; TekServe:null; American Express:null; Thomson Reuters:null; Morgan Stanley:null; The Flatiron School:null; Microsoft:null,null,Revenue:371267; Expenses:388329,2012,null,null,0
Non-Profit,Data and Transparency,World Wide Web Consortium,W3C,"United Kingdom; Cambridge, MA",http://www.w3.org,86,"Tim Berners-Lee, Jeffrey Jaffe",@w3c,91670,null,null,Microsoft Corporation; Google,Collaborative Open Market to Place Objects at your Service:null; Decentralised Citizen Engagement Technologies:null; GloballTV:null; HTML5Apps:null; Mediascape Privacy and Identity Management in Europe for Life:null; Share-PSI 2.0:null; SmartOpenData:null; TPWG Chair Support:null; W3C Fellow:null; W3Conf Developer Conference:null; WAI Core:null; WAI Sponsors:null; WAI-DEV:null; Web Accessibility Initiative - Cooperation Framework for Guidance on Advanced Technologies Evaluation Methodologies and Research Agenda Setting to Support eAccessibility:null; WebPlatform Stewards:null; ICANN:null; Ford Foundation:null,2013,Intel XDK:null; ICANN:null; John S. and James L. Knight Foundation:null,null,null,null,null,null,1
