Categories,Organization,Location,Funding Received,Investment Received,Year of Receiving,Key People,Affiliations,Partnership or Unidentified Collaboration,Website Link,Revenue and Expenses Year,Revenue and Expenses,Grants Given,Year of Grants Given,Number of Employees,Twitter Handle,Number of Twitter Followers,Type
General,Code for America,"San Francisco, CA",Omidyar Network:699990; Knight Foundation:600731; John Arnold Foundation:389980; Kellogg Foundation:null; Greater New Orleans Foundation:null; Open Society Institute:null; Chicago Community Trust:null; Barry Swenson Builders:null; City of Capitola:null; City of Scotts Valley:null; City of Watsonville:null; Community Foundation of Santa Cruz County:null; County of Santa Clara:null; County of Santa Cruz:null; The Downtown Association:null; Joint Venture Silicon Valley:null; Nextspace:null; Ow Family Properties:null; Redtree Properties:null; University Business Park:null; Blue Host with support of Hari Ravichandran:250000; Blue Ridge Foundation:250000; The Ron Conway Family:250000; EMC Greenplum:250000; Estri:250000; Freygish Foundation:250000; Hewlett Foundation:250000; Kaphan Foundation:250000; Ewing Marion Kauffman Foundation:250000; Paul and Yaffa Maritz:250000; Tim O'Reilly:250000; Ashoka Foundation:49999; Cutts Foundation:49999; John Seely Brown:49999; Robert Glushko and Pamela Samuelson:49999; Gil Elbaz:49999; Nick and Leslie Hanuauer:49999; Markle Foundation:49999; Roger McNamee:49999; MDC Partners:49999; OATV:49999; Jennifer Pahlka:49999; Gil and Suzanne Penchina:49999; Tides Foundation:49999; True Ventures:49999; Steve Westly:49999; Ron Bouganim:4999; Art Chang:4999; Russell Cox:49000; Alan Eustace:4999; Max Fram-Schwarz:4999; Jascha Franklin-Hodge:4999; Mashable:4999; Andrew McLaughlin:4999; Bijan Sabet:4999; Hal Varian:4999; Lawrence Wilkinson:4999; Adobe:null; Dropbox:null; BSD:null; Heroku:null; CartoDB:null; KISSmetrics:null; Mapbox:null; Morrison Foerster:null; RedHat Openshift:null; Tropo:null; Twilio:null; Wilson Sonsini Goodrich and Rosati:null; Google:null; Microsoft:null; Total:3527747,null,2012,"Jen Pahlka, Shona Brown, Nigel Jacob, John Lilly, Stacy Donohue, Andrew McLaughlin, Tim O'Reilly, Eric Ries, Clay Johnson",BetaNYC,null,http://codeforamerica.org/,2012,Revenue:5793604; Expenses:5036502,334000,2012,52,@codeforamerica,27056,Non-Profit
General,Knight Foundation,"Miami, FL",Total:5225536,null,2012,"Alberto Ibarguen, Robert Briggs",INNovation Fund,null,http://www.knightfoundation.org,2012,Revenue:113570166; Expenses:130255476,GovLab:null; Total:92493104,2012,67,@knightfdn,70364,Non-Profit
General,White House,"Washington, DC",null,null,null,"Barack Obama, Bill Clinton, Hillary Clinton, Todd Park, John Farmer, Jen Pahlka, Beth Noveck, Andrew McLaughlin, Tom Kalil, Cristin Dorgelo, Kumar Garg, Brian Forde, Nick Sinai, Nicole Wong, Tom Power, Aneesh Chopra, Katie Dowd, Hollie Russon-Gilman, Adam Becker, Vidya Spandana",Office of Science and Technology Policy; Government,null,http://www.whitehouse.gov/administration/eop/ostp ,2013,Budget:710753000,null,null,468,@WhiteHouse,5052597,Government
General,Berkman Center for Internet and Society,"Cambridge, MA",Arcadia Fund:null; Peter Baldwin and Lisbet Rausing:null; Ellen Berkman:null; Ford Foundation:null; Google:null; Stella P. Holt Foundation:null; InterCulture Foundation:null; International Development Research Centre:null; Ewing Marion Kauffman Foundation:null; John S. and James L. Knight Foundation:null; John D. and Catherine T. MacArthur Foundation:null; McCormick Foundation:null; Microsoft:null; National Science Foundation:null; Craig Newmark:null; Omidyar Network:null; The Open Society Institute of the Soros Foundation:null; Alfred P. Sloan Foundation:null; USAID:null; Department of State:null,null,null,"Yochai Benkler, Susan Crawford, John Deighton, William Fisher, Urs Gasser, Charles Nesson, Felix Oberholzer-Gee, John Palfrey, Jeffrey Schnapp, Yochai Benkler, Susan Crawford, John Deighton, William Fisher, Urs Gasser, Charles Nesson, Felix Oberholzer-Gee, John Palfrey, Jeffrey Schnapp, Stuart Shieber, Mark Wu, Jonathan Zittrain, Ethan Zuckerman, danah boyd, Clay Shirky, John Perry Barlow, Bruce Schneier",Harvard University; Harvard Law School,Nieman Foundation,http://cyber.law.harvard.edu,2010,Budget:4000000-5000000 ,null,null,185,@berkmancenter,33011,Non-Profit
General,New America Foundation,"Washington, DC",Google:null; Microsoft:null; MacArthur:null; Ford Foundation:null; Government:null; Harvard University:null; Rockefeller Foundation:null; Total:21814326,null,2012,"Anne-Marie Slaughter, Kevin Bankston, Alissa Black, Hollie Russon-Gilman, Laurenellen McCann, Andrew McLaughlin, Georgia Bullen, Kevin Bankston, Michael Calabrese, Alan Davidson, Thomas Gideon, Chhaya Kapadia, Rebecca MacKinnon, Joshua Breitbart, Seeta Gangadharan, Lorelei Kelly, Benjamin Lennett, Bruce Schneier, Sascha Meinrath, Eric Schmidt",Open Technology Institute; New America Foundation's California Civic Innovation,null,http://www.newamerica.org,2012,Revenue:22258222; Expenses:21634831,null,null,174,@NewAmerica,17029,Non-Profit
General,Brookings Institution,"Washington, DC",Brookings:null; Rockefeller:null; Microsoft:null; Ford Foudnation:null; Google:null; Total:80276594,null,2012,"Strobe Talbot, Peter Singer, Darrell West, Allan Friedman, John Villasenor, William Antholis, Steven Bennett, Kimberly Churches, Kemal Dervis, Ona Alston Dosunmu, Ted Gayer, Bruce Katz, David Nassar, Ted Piccone, Leigh Morris Sloane, Stewart Uretsky, Darrell West",21st Century Security and Intelligence; Brookings Center for Technology Innovation,null,http://www.brookings.edu,2012,Revenue:100602993; Expenses:96726329,null,null,563,@BrookingsInst,108722,Non-Profit
Data and Transparency,Sunlight Foundation,"Washington, DC","John S. and James L. Knight Foundation:750000; Omidyar Network:500000; William and Flora Hewlett Foundation:250000; Ford Foundation:150000; Chang K. Park Foundation:100000; Park Foundation:100000; Rita Allen Foundation:1000000; Global Integrity:77625; Cards Against Humanity:50000; Kaphan Foundation:50000; Robert R. McCormick Foundation:50000; Global Integrity:43125; Investigative News Network:38156; craigslist Charitable Fund:25000; Transparency International - Secretariat:20415; 300 gifts under 250:10751; United Way of the Bay Area:10000; UX Pin:8994; Fidelity Charitable Gift Fund Helianthus Fund:7500; Silicon Valley Community Foundation Edwards Family Fund:5000; Participant Media:3000; BeeKeeper Group:2500; GitHub:2500; Granicus:2500; Socrata:2500; Susan & Ford Schumann Foundation:2000; Democracy Works:1985; Andrew Cohen:1000; Andrew McLaughlin:1000; Timothy Gholson:1000; Data Transparency Coalition:750; Barbara Friedman:500; Frank Beckman:500; Marvin Gottlieb:500; The George Washington University:500; O'Reilly Media, Inc.:365.62; Citizens for Responsibility & Ethics in Washington:250; Fund for Constitutional Government:250; Henry Stiles:250; Ontodia, Inc.:250; OpenGov, Inc.:250; ProPublica:250; Quandl:250; Reporters Committee for Freedom of the Press:250; Robert Hanham:250; Scott Phillips:250",null,2014,"Mike Klein, Ellen Miller, Laurenellen McCann, Stacy Donohue, Andrew Rasiej",null,null,http://sunlightfoundation.com,2012,Revenue:7912829; Expenses:7521833,538403,2012,67,@SunFoundation,34409,Non-Profit
General,Personal Democracy Forum,"New York, NY",null,"Microsoft:null; Facebook:null; Ford Foundation:null; Google:null; GitHub:null; Bloomberg:null; Mozilla:null; Omidyar Network:null; ThoughtWorks:null; iTP:null; Harvard Kennedy School Shorenstein Center on Media, Politics and Public Policy:null; Change.org:null; tumblr.:null; Mobile Commons:null; GovDeliver:null; echoditto:null; democracy.com:null",2014,"Micah Sifry, Andrew Rasiej",Personal Democracy Media,null,https://personaldemocracy.com,null,null,null,null,8,@pdmteam,7858,For-Profit
21st Century Jobs and Opportunities,New York Tech Meetup,"New York, NY",null,Gotham Ventures:null; Wilson Sonsini Goodrich & Rosati:null; Google:null; Microsoft BizSpark:null; Bloomberg:null; tumblr:null; mlbam:null; TekServe:null; American Express:null; Thomson Reuters:null; Morgan Stanley:null; The Flatiron School:null; Microsoft:null,null,"Andrew Rasiej, Micah Sifry, Jessica Lawrence",null,null,http://nytm.org,2012,Revenue:371267; Expenses:388329,null,null,22,@NYTM,15108,Non-Profit
Data and Transparency,World Wide Web Consortium,"United Kingdom; Cambridge, MA","Collaborative Open Market to Place Objects at your Service:null; Decentralised Citizen Engagement Technologies:null; GloballTV:null; HTML5Apps:null; Mediascape, Privacy and IDentity Management in Europe for Life:null; Share-PSI 2.0:null; SmartOpenData:null; TPWG Chair Support:null; W3C Fellow:null; W3Conf Developer Conference:null; WAI Core:null; WAI Sponsors:null; WAI-DEV:null; Web Accessibility Initiative - Cooperation Framework for Guidance on Advanced Technologies, Evaluation Methodologies, and Research Agenda Setting to Support eAccessibility:null; WebPlatform Stewards:null",Intel XDK:null; ICANN:null; Knight Foundation:null,2013,"Tim Berners-Lee, Jeffrey Jaffe",null,Microsoft; Google,http://www.w3.org,null,null,null,null,86,@w3c,89582,Non-Profit
